Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
49,0.003303841,0.002179795,0.00326729,0.005153115,0.002167902,0.003498939,0.002470947,0.001352683,4.38E-06,3.51E-06,5.22E-06,1.60E-05,4.23E-06,1.24E-05,1.04E-05,7.81E-06
50,0.00480543,0.003154215,0.0047055,0.007620887,0.00312242,0.004955922,0.003618273,0.00202144,5.39E-06,4.28E-06,6.26E-06,2.03E-05,5.04E-06,1.53E-05,1.41E-05,1.05E-05
51,0.00480543,0.003154215,0.0047055,0.007620887,0.00312242,0.004955922,0.003618273,0.00202144,5.39E-06,4.28E-06,6.26E-06,2.03E-05,5.04E-06,1.53E-05,1.41E-05,1.05E-05
52,0.00480543,0.003154215,0.0047055,0.007620887,0.00312242,0.004955922,0.003618273,0.00202144,5.39E-06,4.28E-06,6.26E-06,2.03E-05,5.04E-06,1.53E-05,1.41E-05,1.05E-05
53,0.00480543,0.003154215,0.0047055,0.007620887,0.00312242,0.004955922,0.003618273,0.00202144,5.39E-06,4.28E-06,6.26E-06,2.03E-05,5.04E-06,1.53E-05,1.41E-05,1.05E-05
54,0.00480543,0.003154215,0.0047055,0.007620887,0.00312242,0.004955922,0.003618273,0.00202144,5.39E-06,4.28E-06,6.26E-06,2.03E-05,5.04E-06,1.53E-05,1.41E-05,1.05E-05
55,0.006834236,0.004485502,0.006667807,0.011048366,0.004466022,0.006795821,0.005085872,0.00294969,6.85E-06,5.38E-06,7.80E-06,2.71E-05,6.26E-06,1.95E-05,1.94E-05,1.43E-05
56,0.006834236,0.004485502,0.006667807,0.011048366,0.004466022,0.006795821,0.005085872,0.00294969,6.85E-06,5.38E-06,7.80E-06,2.71E-05,6.26E-06,1.95E-05,1.94E-05,1.43E-05
57,0.006834236,0.004485502,0.006667807,0.011048366,0.004466022,0.006795821,0.005085872,0.00294969,6.85E-06,5.38E-06,7.80E-06,2.71E-05,6.26E-06,1.95E-05,1.94E-05,1.43E-05
58,0.006834236,0.004485502,0.006667807,0.011048366,0.004466022,0.006795821,0.005085872,0.00294969,6.85E-06,5.38E-06,7.80E-06,2.71E-05,6.26E-06,1.95E-05,1.94E-05,1.43E-05
59,0.006834236,0.004485502,0.006667807,0.011048366,0.004466022,0.006795821,0.005085872,0.00294969,6.85E-06,5.38E-06,7.80E-06,2.71E-05,6.26E-06,1.95E-05,1.94E-05,1.43E-05
60,0.009741923,0.006560867,0.009570557,0.015459427,0.006603829,0.009355804,0.007240282,0.004388619,9.08E-06,7.13E-06,1.02E-05,3.72E-05,8.23E-06,2.60E-05,2.74E-05,2.01E-05
61,0.009741923,0.006560867,0.009570557,0.015459427,0.006603829,0.009355804,0.007240282,0.004388619,9.08E-06,7.13E-06,1.02E-05,3.72E-05,8.23E-06,2.60E-05,2.74E-05,2.01E-05
62,0.009741923,0.006560867,0.009570557,0.015459427,0.006603829,0.009355804,0.007240282,0.004388619,9.08E-06,7.13E-06,1.02E-05,3.72E-05,8.23E-06,2.60E-05,2.74E-05,2.01E-05
63,0.009741923,0.006560867,0.009570557,0.015459427,0.006603829,0.009355804,0.007240282,0.004388619,9.08E-06,7.13E-06,1.02E-05,3.72E-05,8.23E-06,2.60E-05,2.74E-05,2.01E-05
64,0.009741923,0.006560867,0.009570557,0.015459427,0.006603829,0.009355804,0.007240282,0.004388619,9.08E-06,7.13E-06,1.02E-05,3.72E-05,8.23E-06,2.60E-05,2.74E-05,2.01E-05
65,0.014070428,0.009858667,0.014040164,0.020696201,0.010063926,0.01293321,0.010328753,0.006590355,1.24E-05,9.75E-06,1.39E-05,5.07E-05,1.12E-05,3.50E-05,3.89E-05,2.84E-05
66,0.014070428,0.009858667,0.014040164,0.020696201,0.010063926,0.01293321,0.010328753,0.006590355,1.24E-05,9.75E-06,1.39E-05,5.07E-05,1.12E-05,3.50E-05,3.89E-05,2.84E-05
67,0.014070428,0.009858667,0.014040164,0.020696201,0.010063926,0.01293321,0.010328753,0.006590355,1.24E-05,9.75E-06,1.39E-05,5.07E-05,1.12E-05,3.50E-05,3.89E-05,2.84E-05
68,0.014070428,0.009858667,0.014040164,0.020696201,0.010063926,0.01293321,0.010328753,0.006590355,1.24E-05,9.75E-06,1.39E-05,5.07E-05,1.12E-05,3.50E-05,3.89E-05,2.84E-05
69,0.014070428,0.009858667,0.014040164,0.020696201,0.010063926,0.01293321,0.010328753,0.006590355,1.24E-05,9.75E-06,1.39E-05,5.07E-05,1.12E-05,3.50E-05,3.89E-05,2.84E-05
70,0.021480775,0.015357747,0.021699561,0.028985818,0.015834344,0.018495462,0.015666145,0.010244742,1.77E-05,1.36E-05,1.98E-05,7.20E-05,1.56E-05,4.81E-05,5.74E-05,4.08E-05
71,0.021480775,0.015357747,0.021699561,0.028985818,0.015834344,0.018495462,0.015666145,0.010244742,1.77E-05,1.36E-05,1.98E-05,7.20E-05,1.56E-05,4.81E-05,5.74E-05,4.08E-05
