,X,riskfactor,unit of rr,outcome,midage,logRR.perchange,se.perchange,logRR.perchange.exp,se.perchange.exp,event.age,origlogRR,minage,note
46,4,pmeat,50g/d,IHD,60,0.314758241,0.106775482,1.377750648,0.147524659,64.9,0.31481074,55,
47,5,pmeat,50g/d,IHD,70,0.261075547,0.088564694,1.303421796,0.115654156,64.9,0.31481074,65,
48,6,pmeat,50g/d,IHD,87.5,0.150026628,0.043782428,1.161865181,0.050869279,64.9,0.31481074,75,
49,1,pufa_c,5% energy/d,IHD,30,-0.155492299,0.039104051,0.856648209,0.033550772,56.8,-0.105360516,25,
50,2,pufa_c,5% energy/d,IHD,40,-0.149133439,0.03750489,0.862060059,0.032379287,56.8,-0.105360516,35,
51,3,pufa_c,5% energy/d,IHD,50,-0.126514502,0.031816556,0.8816073,0.02808321,56.8,-0.105360516,45,
52,4,pufa_c,5% energy/d,IHD,60,-0.104833038,0.026363984,0.900787692,0.023770719,56.8,-0.105360516,55,
53,5,pufa_c,5% energy/d,IHD,70,-0.086953538,0.021867549,0.916938766,0.020066212,56.8,-0.105360516,65,
54,6,pufa_c,5% energy/d,IHD,87.5,-0.049670911,0.010914561,0.951542516,0.010385669,56.8,-0.105360516,75,
55,1,pufa_s,5% energy/d,IHD,30,-0.140050312,0.036521934,0.869893725,0.03176706,56.9,-0.094310679,25,
56,2,pufa_s,5% energy/d,IHD,40,-0.134322952,0.035028369,0.874843532,0.0306411,56.9,-0.094310679,35,
57,3,pufa_s,5% energy/d,IHD,50,-0.113950308,0.029715647,0.892695863,0.026523778,56.9,-0.094310679,45,
58,4,pufa_s,5% energy/d,IHD,60,-0.094422037,0.024623118,0.910174222,0.02240846,56.9,-0.094310679,55,
59,5,pufa_s,5% energy/d,IHD,70,-0.078318156,0.020423592,0.924862841,0.01888668,56.9,-0.094310679,65,
60,6,pufa_s,5% energy/d,IHD,87.5,-0.044598688,0.010082947,0.956381212,0.009643141,56.9,-0.094310679,75,
61,1,rmeat,100g/d,DIAB,30,0.258398711,0.107654614,1.302352287,0.140023457,59.6,0.173953307,25,
62,2,rmeat,100g/d,DIAB,40,0.247831491,0.103252077,1.288067342,0.132817358,59.6,0.173953307,35,
63,3,rmeat,100g/d,DIAB,50,0.210243108,0.087591926,1.238705739,0.108343208,59.6,0.173953307,45,
64,4,rmeat,100g/d,DIAB,60,0.174212626,0.072580831,1.193439212,0.086495035,59.6,0.173953307,55,
65,5,rmeat,100g/d,DIAB,70,0.144500289,0.060202014,1.15755256,0.069591126,59.6,0.173953307,65,
66,6,rmeat,100g/d,DIAB,87.5,0.08355849,0.03030418,1.087148801,0.032945153,59.6,0.173953307,75,
67,1,sfat,5% energy/d,IHD,30,0.139352458,0.037770377,1.150346575,0.043305321,56.9,0.094310679,25,
68,2,sfat,5% energy/d,IHD,40,0.133653637,0.036225757,1.143744539,0.041300764,56.9,0.094310679,35,
69,3,sfat,5% energy/d,IHD,50,0.113382508,0.030731428,1.120587705,0.034341962,56.9,0.094310679,45,
70,4,sfat,5% energy/d,IHD,60,0.093951544,0.02546482,1.098861781,0.027916822,56.9,0.094310679,55,
71,5,sfat,5% energy/d,IHD,70,0.077927906,0.02112174,1.081285308,0.022793543,56.9,0.094310679,65,
72,6,sfat,5% energy/d,IHD,87.5,0.044720456,0.010482698,1.04573549,0.010962129,56.9,0.094310679,75,
73,1,ssb,8oz/d,DIAB,30,0.294610699,0.084846742,1.347437227,0.114412926,53.8,0.2390169,25,
