Case,Male,Female,NHWM,NHWF,NHBM,NHBF,HM,HF
New,0.595,0.482,0.587,0.474,0.64,0.526,0.587,0.474
Recurrent,0.692,0.588,0.686,0.58,0.732,0.63,0.686,0.58
